,Location,Name,Rooms,Guests,Pets,Wifi,Free_parking,Refrigerator,Kitchen,Smoke_alarm,Cooling,Heating,TV,Bed_lines,Washer,Super_host,Price,Review_count,Total_rate
0,Glendale,Room in Glendale,1,2,False,True,True,True,True,True,True,True,True,True,True,False,322,5,5.0
1,Redondo Beach,Home in Redondo Beach,1,2,True,True,True,True,True,,,True,True,True,True,False,610,3,4.67
2,Los Angeles,Guesthouse in Los Angeles,1,2,False,True,True,True,True,,True,True,True,True,,True,912,249,4.97
3,Inglewood,Boutique hotel in Inglewood,1,2,False,True,True,,,,True,True,True,True,,False,453,1132,4.28
4,Los Angeles,Room in Los Angeles,1,1,False,True,,True,True,,True,True,,,,False,310,4,5.0
5,Los Angeles,Apartment in Los Angeles,1,2,False,True,,True,True,,True,True,True,True,True,True,825,135,4.95
6,Glendale,Guest suite in Glendale,1,1,False,True,True,True,True,,True,True,True,,,True,503,100,4.98
7,Los Angeles,Apartment in Los Angeles,1,2,True,True,True,True,True,,True,True,True,True,True,False,814,0,0.0
8,Pasadena,Place to stay in Pasadena,1,1,False,True,True,True,True,,True,True,,,True,False,198,117,4.7
9,West Hollywood,Apartment in West Hollywood,1,2,False,True,True,True,True,,True,,True,True,True,True,947,3,5.0
10,West Hollywood,Condo in West Hollywood,1,2,False,True,True,True,True,,True,True,True,True,True,True,689,460,4.8
11,Los Angeles,Guesthouse in Los Angeles,1,2,True,True,True,,,,True,,,True,,True,541,44,4.89
12,Los Angeles,Apartment in Los Angeles,1,2,False,True,True,True,True,,True,True,True,True,True,True,1245,18,5.0
13,Santa Monica,Apartment in Santa Monica,1,2,False,True,True,True,True,,True,True,,True,True,True,1060,7,5.0
14,San Gabriel,Room in San Gabriel,1,2,False,True,,,True,True,True,True,,,True,True,234,35,4.97
15,Lawndale,Room in Lawndale,1,2,False,True,True,True,True,True,True,,True,,True,False,277,0,0.0
16,Los Angeles,Apartment in Los Angeles,1,2,True,True,,True,True,,True,True,True,,True,True,1036,8,4.88
17,West Hollywood,Room in West Hollywood,1,2,True,True,,True,True,True,,True,,,,False,304,23,4.65
18,Pasadena,Place to stay in Pasadena,1,1,False,True,True,True,True,,True,True,,,True,False,198,117,4.7
19,Los Angeles,Guesthouse in Los Angeles,1,2,False,True,True,True,True,,True,True,True,True,,True,912,249,4.97
20,Los Angeles,Room in Los Angeles,1,1,False,True,,True,True,,True,True,,,,False,310,4,5.0
21,Glendale,Room in Glendale,1,2,False,True,True,True,True,True,True,True,True,True,True,False,322,5,5.0
22,Redondo Beach,Home in Redondo Beach,1,2,True,True,True,True,True,,,True,True,True,True,False,610,3,4.67
23,West Hollywood,Condo in West Hollywood,1,2,False,True,True,True,True,,True,True,True,True,True,True,689,460,4.8
24,Los Angeles,Apartment in Los Angeles,1,2,False,True,,True,True,,True,True,True,True,True,True,825,135,4.95
25,Glendale,Guest suite in Glendale,1,1,False,True,True,True,True,,True,True,True,,,True,503,100,4.98
26,Inglewood,Boutique hotel in Inglewood,1,2,False,True,True,,,,True,True,True,True,,False,453,1132,4.28
27,Santa Monica,Apartment in Santa Monica,1,2,False,True,True,True,True,,True,True,,True,True,True,1060,7,5.0
28,West Hollywood,Apartment in West Hollywood,1,2,False,True,True,True,True,,True,,True,True,True,True,947,3,5.0
29,Los Angeles,Guesthouse in Los Angeles,1,2,True,True,True,,,,True,,,True,,True,541,44,4.89
30,Glendale,Home in Glendale,1,2,True,True,True,True,True,,True,True,True,True,True,False,574,2,5.0
31,Glendale,Apartment in Glendale,1,2,True,True,True,True,True,,True,True,True,True,True,True,578,61,4.83
32,Los Angeles,Guest suite in Los Angeles,1,2,False,True,True,,True,,,,True,True,,True,1015,157,4.83
33,Los Angeles,Apartment in Los Angeles,1,2,True,True,,True,True,,True,True,True,,True,True,1036,8,4.88
34,West Hollywood,Apartment in West Hollywood,1,2,False,True,,,True,,True,,True,,,False,758,0,0.0
35,Lawndale,Room in Lawndale,1,2,False,True,True,True,True,True,True,,True,,True,False,277,0,0.0
